"Population","Latitude","Longitude","Median_house_value","Median_household_income","Mean_household_income"
4195,36.80041,-119.6734,345,75536,88597
2240,36.77872,-119.5278,413.5,97841,97433
3095,36.82389,-119.6599,329.5,88098,95589
3280,36.82943,-119.6321,426.5,121477,124380
7536,36.69645,-119.5666,170.7,41463,57961
7254,36.64079,-119.4318,273.9,71305,83790
6304,36.72221,-119.1859,211.8,58750,59707
4909,36.95216,-119.4591,414.8,83877,99402
4795,37.03341,-119.5382,282.8,73750,88773
6662,36.61856,-119.327,180.2,27674,34132
4159,36.62888,-119.3137,162.9,27772,41442
5597,36.59462,-119.4408,168.4,28784,38042
6304,36.58801,-119.4551,194.9,43125,60510
4514,36.57059,-119.6092,213.9,34507,45424
5109,36.51196,-119.5635,194.4,57841,60825
5287,36.53792,-119.833,248.1,44146,57847
4806,36.5916,-119.8845,279.9,37881,50421
5599,36.43399,-119.8723,171.1,43472,51362
5277,36.14362,-120.3657,187.3,49406,64480
6978,36.59649,-120.2173,162.9,25894,35516
5989,36.76447,-120.382,134.8,34193,39122
7991,36.86115,-120.4584,139.7,32292,44020
1152,36.92477,-120.6185,187.5,32153,55831
4585,36.60426,-119.5519,122.1,29855,51437
7929,36.61071,-119.5411,146.1,41484,49870
7636,39.52313,-122.2016,234,42871,61765
3456,39.74456,-122.0267,247.2,35888,53221
5544,40.77502,-124.1736,265.4,41094,55172
4866,40.78926,-124.1512,306,39772,53073
5360,40.76988,-124.1479,334.8,59104,68878
4668,40.79212,-124.1276,318.5,55483,84726
6350,40.88433,-124.0927,299.7,34423,51112
4686,40.88447,-124.062,398.8,37925,53252
1479,40.84315,-124.1665,218.9,32449,43118
2884,41.07224,-123.6414,226.3,28304,36198
3607,40.91211,-123.9939,365,55000,66318
3688,40.97065,-124.1006,342.2,53979,67378
5281,40.93617,-124.0884,323.5,47043,57571
1798,40.76659,-124.0777,450.4,59875,73316
6940,40.72893,-124.1828,320.2,43638,59730
6998,32.96902,-115.5471,222,60938,91392
4322,32.97396,-115.5203,135.6,30342,38962
1368,32.80164,-115.3801,174,65982,72857
6043,32.81824,-115.5745,208.1,64728,74649
4580,32.78991,-115.544,117.1,23974,32593
6232,32.79904,-115.5608,115.9,21314,32565
6310,32.78692,-115.56,165.8,26867,39958
4797,32.77763,-115.555,159.2,46724,59885
4870,32.78438,-115.5741,184.3,50278,60721
3831,32.66865,-115.4864,116.3,26954,38648
9678,32.67704,-115.481,174.6,48019,63114
4756,33.3465,-115.9887,92.2,29867,40665
1266,33.31005,-115.3766,40.2,22000,31808
2757,37.38228,-118.415,84.6,56481,64034
1718,37.34117,-118.4992,366,55288,79966
2457,37.35651,-118.4311,502.6,80625,84085
5668,37.3649,-118.4036,268.3,36250,52442
3378,36.46959,-117.6913,156.3,36577,48947
3055,35.43144,-119.0177,141.1,42426,52040
4217,35.41099,-119.0267,110.5,25096,32178
4086,35.41667,-119.0736,300,39468,67727
2795,35.3978,-119.0848,248.6,55904,71248
4825,35.3963,-118.9957,167.8,60952,85498
4925,35.40237,-118.977,166.9,58478,62012
3653,35.40425,-118.9546,176.8,46607,60155
4008,35.38742,-118.959,159.5,53605,64026
2483,35.37934,-118.9586,192.7,42831,57179
4355,35.37949,-118.9409,176.2,44821,57841
5493,35.40266,-118.9429,196.2,71597,79378
2406,35.38821,-118.9408,339.5,102175,122044
9904,35.40159,-118.9169,211.8,48449,77723
4413,35.36945,-118.9255,161.4,34150,40786
2895,35.38735,-118.9734,155.9,40586,54586
7559,35.38255,-118.9854,119.4,33164,37107
3147,35.37188,-118.9889,128.1,36576,36984
5579,35.36005,-119.0485,177.3,44474,55607
3434,35.36163,-119.0339,177.5,43967,61153
7111,35.36135,-119.012,160.3,18714,30704
9743,35.36093,-118.9524,151.2,35597,42487
9122,35.33939,-118.9903,107.4,25305,32101
3539,35.34691,-119.0139,165.4,32353,42908
5370,35.34646,-119.0289,125.3,45469,55477
2672,35.34398,-119.0676,197.6,43474,52878
2176,35.34752,-119.0958,272.2,52321,70487
3854,35.33914,-119.1203,423.9,118063,160170
5215,35.34979,-119.0538,157.6,28063,32039
4161,35.34374,-119.0513,151.7,32582,41382
4282,35.32878,-119.0481,157.8,46155,49881
5465,35.32611,-119.0616,109.9,44550,49890
4586,35.32304,-119.0818,206.8,56902,63454
6301,35.31851,-119.1193,272.1,92361,104584
7374,35.33176,-119.0137,86.7,34291,44846
3979,35.30499,-118.9969,114.8,36713,42611
5116,35.31981,-119.0475,154.5,53783,57789
4784,35.31811,-119.0281,129.8,44848,47986
8845,35.30335,-119.0126,141.2,42406,49984
5414,35.30227,-119.066,179.7,74900,76886
9386,35.3099,-119.1246,367.6,103179,129787
8998,35.28817,-119.0435,193.7,59476,73716
5248,35.15856,-119.3901,163.2,49833,64263
3608,34.82064,-118.9619,229.7,55152,60366
4897,34.84708,-119.0573,238.8,54010,74717
4531,35.13382,-119.4654,117.8,43578,49695
4769,35.39742,-119.1628,353.5,108939,124353
15464,35.40815,-119.1356,259.9,94651,103467
8774,35.4105,-119.1204,258.8,88173,92553
10984,35.37288,-119.1691,350.7,94755,121618
2578,35.37567,-119.1367,437.3,118906,168971
7704,35.49826,-119.2841,168.4,40133,47676
1320,35.48496,-119.3257,233,49792,63168
7416,35.58691,-119.3469,155.9,41491,50777
5437,35.59042,-119.3349,153.8,32674,41065
3937,35.62602,-119.6436,147,32281,39828
15845,35.76942,-119.2705,158.5,48070,53682
8868,35.67491,-119.2341,156.3,37852,44328
9297,35.76874,-119.254,127.4,29974,37395
8349,35.78404,-119.2307,204.2,46750,53037
3543,35.76107,-119.2364,163,29013,39694
5397,35.7156,-118.4696,216,36782,58039
5094,35.63086,-117.6837,191.2,72243,79370
6672,35.61689,-117.6579,198.6,59068,68858
6275,35.63992,-117.7607,165.8,62739,83904
5998,34.86435,-118.2305,155,46844,61521
7198,35.12575,-117.9654,161.5,55188,62938
2226,34.92291,-117.9371,113.8,67386,76422
3589,35.04994,-118.1777,83.9,28184,42592
5580,35.13725,-118.4862,226.3,55511,61589
1601,35.22496,-118.3837,177.2,43269,72987
3519,35.14699,-118.5052,230.2,55860,79061
5956,35.16716,-118.6301,353,74954,96315
4004,35.21433,-118.8324,138.5,31920,43473
